Date,DesignCycleCount70,CycleCount,DesignCycleCount9C,MaxCapacity,CurrentCapacity,DesignCapacity
2012-08-14 10:41:46,65535,1,1000,6667,6329,6700
2012-08-14 10:43:00,65535,1,1000,6667,6308,6700
2012-08-14 10:44:00,65535,1,1000,6667,6291,6700
2012-08-14 10:45:00,65535,1,1000,6667,6273,6700
2012-08-14 10:46:00,65535,1,1000,6667,6264,6700
2012-08-14 10:47:00,65535,1,1000,6667,6248,6700
2012-08-14 10:48:00,65535,1,1000,6667,6232,6700
2012-08-14 10:49:00,65535,1,1000,6667,6216,6700
2012-08-14 10:50:00,65535,1,1000,6667,6200,6700
2012-08-14 10:51:00,65535,1,1000,6667,6183,6700
2012-08-14 10:52:00,65535,1,1000,6667,6166,6700
2012-08-14 10:53:00,65535,1,1000,6667,6145,6700
2012-08-14 10:54:00,65535,1,1000,6667,6127,6700
2012-08-14 10:55:00,65535,1,1000,6667,6105,6700
2012-08-14 10:56:00,65535,1,1000,6667,6083,6700
2012-08-14 10:57:00,65535,1,1000,6667,6055,6700
2012-08-14 10:58:00,65535,1,1000,6667,6032,6700
2012-08-14 10:59:00,65535,1,1000,6667,6005,6700
2012-08-14 11:00:00,65535,1,1000,6667,5982,6700
2012-08-14 11:01:00,65535,1,1000,6656,5951,6700
2012-08-14 11:02:00,65535,1,1000,6656,5928,6700
2012-08-14 11:03:00,65535,1,1000,6656,5912,6700
2012-08-14 11:04:00,65535,1,1000,6656,5889,6700
2012-08-14 11:05:00,65535,1,1000,6656,5873,6700
2012-08-14 11:06:00,65535,1,1000,6656,5857,6700
2012-08-14 11:07:00,65535,1,1000,6656,5842,6700
2012-08-14 11:08:00,65535,1,1000,6656,5825,6700
2012-08-14 11:09:00,65535,1,1000,6656,5809,6700
2012-08-14 11:10:00,65535,1,1000,6656,5793,6700
2012-08-14 11:11:00,65535,1,1000,6656,5777,6700
2012-08-14 11:12:00,65535,1,1000,6656,5761,6700
2012-08-14 11:13:00,65535,1,1000,6656,5744,6700
2012-08-14 11:14:00,65535,1,1000,6656,5728,6700
2012-08-14 11:15:00,65535,1,1000,6656,5711,6700
2012-08-14 11:16:00,65535,1,1000,6656,5694,6700
2012-08-14 11:17:00,65535,1,1000,6656,5675,6700
2012-08-14 11:18:00,65535,1,1000,6656,5657,6700
2012-08-14 11:19:00,65535,1,1000,6656,5641,6700
2012-08-14 11:20:00,65535,1,1000,6656,5623,6700
2012-08-14 11:21:00,65535,1,1000,6656,5616,6700
2012-08-14 11:22:00,65535,1,1000,6656,5601,6700
2012-08-14 11:23:00,65535,1,1000,6656,5585,6700
2012-08-14 11:24:00,65535,1,1000,6656,5569,6700
2012-08-14 11:25:00,65535,1,1000,6656,5553,6700
2012-08-14 11:26:00,65535,1,1000,6656,5536,6700
2012-08-14 11:27:00,65535,1,1000,6656,5519,6700
2012-08-14 11:28:00,65535,1,1000,6656,5502,6700
2012-08-14 11:29:00,65535,1,1000,6656,5486,6700
2012-08-14 11:30:00,65535,1,1000,6656,5471,6700
2012-08-14 11:31:00,65535,1,1000,6656,5454,6700
2012-08-14 11:32:00,65535,1,1000,6656,5438,6700
2012-08-14 11:33:01,65535,1,1000,6656,5404,6700
2012-08-14 11:34:00,65535,1,1000,6656,5388,6700
2012-08-14 11:35:00,65535,1,1000,6656,5370,6700
2012-08-14 11:36:00,65535,1,1000,6656,5352,6700
2012-08-14 11:37:00,65535,1,1000,6656,5332,6700
2012-08-14 11:38:00,65535,1,1000,6656,5314,6700
2012-08-14 11:39:00,65535,1,1000,6656,5300,6700
2012-08-14 11:40:00,65535,1,1000,6656,5285,6700
2012-08-14 11:41:00,65535,1,1000,6656,5272,6700
2012-08-14 11:42:00,65535,1,1000,6656,5255,6700
2012-08-14 11:43:00,65535,1,1000,6656,5236,6700
2012-08-14 11:44:00,65535,1,1000,6656,5223,6700
2012-08-14 11:45:00,65535,1,1000,6656,5210,6700
2012-08-14 11:46:00,65535,1,1000,6656,5195,6700
